-------------------------------------
PRODIGAL v2.6.3 [February, 2016]         
Univ of Tenn / Oak Ridge National Lab
Doug Hyatt, Loren Hauser, et al.     
-------------------------------------
Request:  Single Genome, Phase:  Training
Reading in the sequence(s) to train...6891757 bp seq created, 60.54 pct GC
Locating all potential starts and stops...471169 nodes
Looking for GC bias in different frames...frame bias scores: 0.63 0.12 2.26
Building initial set of genes to train from...done!
Creating coding model and scoring nodes...done!
Examining upstream regions and training starts...done!
-------------------------------------
Request:  Single Genome, Phase:  Gene Finding
Finding genes in sequence #217 (244 bp)...done!
Finding genes in sequence #218 (244 bp)...done!
Finding genes in sequence #219 (244 bp)...done!
Finding genes in sequence #220 (243 bp)...done!
Finding genes in sequence #221 (242 bp)...done!
Finding genes in sequence #222 (242 bp)...done!
Finding genes in sequence #223 (241 bp)...done!
Finding genes in sequence #224 (241 bp)...done!
Finding genes in sequence #225 (240 bp)...done!
Finding genes in sequence #226 (240 bp)...done!
Finding genes in sequence #227 (240 bp)...done!
Finding genes in sequence #228 (240 bp)...done!
Finding genes in sequence #229 (239 bp)...done!
Finding genes in sequence #230 (239 bp)...done!
Finding genes in sequence #231 (239 bp)...done!
Finding genes in sequence #232 (238 bp)...done!
Finding genes in sequence #233 (238 bp)...done!
Finding genes in sequence #234 (238 bp)...done!
Finding genes in sequence #235 (237 bp)...done!
Finding genes in sequence #236 (237 bp)...done!
Finding genes in sequence #237 (236 bp)...done!
Finding genes in sequence #238 (236 bp)...done!
Finding genes in sequence #239 (235 bp)...done!
Finding genes in sequence #240 (235 bp)...done!
Finding genes in sequence #241 (235 bp)...done!
Finding genes in sequence #242 (234 bp)...done!
Finding genes in sequence #243 (234 bp)...done!
Finding genes in sequence #244 (234 bp)...done!
Finding genes in sequence #245 (234 bp)...done!
Finding genes in sequence #246 (234 bp)...done!
Finding genes in sequence #247 (233 bp)...done!
Finding genes in sequence #248 (233 bp)...done!
Finding genes in sequence #249 (233 bp)...done!
Finding genes in sequence #250 (233 bp)...done!
Finding genes in sequence #251 (232 bp)...done!
Finding genes in sequence #252 (232 bp)...done!
Finding genes in sequence #253 (232 bp)...done!
Finding genes in sequence #254 (232 bp)...done!
Finding genes in sequence #255 (232 bp)...done!
Finding genes in sequence #256 (231 bp)...done!
Finding genes in sequence #257 (231 bp)...done!
Finding genes in sequence #258 (231 bp)...done!
Finding genes in sequence #259 (231 bp)...done!
Finding genes in sequence #260 (230 bp)...done!
Finding genes in sequence #261 (230 bp)...done!
Finding genes in sequence #262 (230 bp)...done!
Finding genes in sequence #263 (229 bp)...done!
Finding genes in sequence #264 (229 bp)...done!
Finding genes in sequence #265 (229 bp)...done!
Finding genes in sequence #266 (229 bp)...done!
Finding genes in sequence #267 (229 bp)...done!
Finding genes in sequence #268 (227 bp)...done!
Finding genes in sequence #269 (221 bp)...done!
Finding genes in sequence #270 (221 bp)...done!
Finding genes in sequence #271 (221 bp)...done!
Finding genes in sequence #272 (220 bp)...done!
Finding genes in sequence #273 (214 bp)...done!
Finding genes in sequence #274 (210 bp)...done!
Finding genes in sequence #275 (207 bp)...done!
Finding genes in sequence #276 (207 bp)...done!
Finding genes in sequence #277 (206 bp)...done!
Finding genes in sequence #278 (205 bp)...done!
Finding genes in sequence #279 (204 bp)...done!
Finding genes in sequence #280 (201 bp)...done!
Finding genes in sequence #281 (199 bp)...done!
Finding genes in sequence #282 (198 bp)...done!
Finding genes in sequence #283 (198 bp)...done!
Finding genes in sequence #284 (195 bp)...done!
Finding genes in sequence #285 (195 bp)...done!
Finding genes in sequence #286 (194 bp)...done!
Finding genes in sequence #287 (194 bp)...done!
Finding genes in sequence #288 (194 bp)...done!
Finding genes in sequence #289 (194 bp)...done!
Finding genes in sequence #290 (193 bp)...done!
Finding genes in sequence #291 (192 bp)...done!
Finding genes in sequence #292 (192 bp)...done!
Finding genes in sequence #293 (191 bp)...done!
Finding genes in sequence #294 (188 bp)...done!
Finding genes in sequence #295 (188 bp)...done!
Finding genes in sequence #296 (188 bp)...done!
Finding genes in sequence #297 (187 bp)...done!
Finding genes in sequence #298 (186 bp)...done!
Finding genes in sequence #299 (183 bp)...done!
Finding genes in sequence #300 (182 bp)...done!
Finding genes in sequence #301 (181 bp)...done!
Finding genes in sequence #302 (181 bp)...done!
Finding genes in sequence #303 (181 bp)...done!
Finding genes in sequence #304 (181 bp)...done!
Finding genes in sequence #305 (178 bp)...done!
Finding genes in sequence #306 (175 bp)...done!
Finding genes in sequence #307 (171 bp)...done!
Finding genes in sequence #308 (171 bp)...done!
Finding genes in sequence #309 (170 bp)...done!
Finding genes in sequence #310 (170 bp)...done!
Finding genes in sequence #311 (170 bp)...done!
Finding genes in sequence #312 (170 bp)...done!
Finding genes in sequence #313 (169 bp)...done!
Finding genes in sequence #314 (167 bp)...done!
Finding genes in sequence #315 (166 bp)...done!
Finding genes in sequence #316 (165 bp)...done!
Finding genes in sequence #317 (165 bp)...done!
Finding genes in sequence #318 (165 bp)...done!
Finding genes in sequence #319 (165 bp)...done!
Finding genes in sequence #320 (163 bp)...done!
Finding genes in sequence #321 (162 bp)...done!
Finding genes in sequence #322 (162 bp)...done!
Finding genes in sequence #323 (162 bp)...done!
Finding genes in sequence #324 (161 bp)...done!
Finding genes in sequence #325 (161 bp)...done!
Finding genes in sequence #326 (160 bp)...done!
Finding genes in sequence #327 (159 bp)...done!
Finding genes in sequence #328 (157 bp)...done!
Finding genes in sequence #329 (157 bp)...done!
Finding genes in sequence #330 (155 bp)...done!
Finding genes in sequence #331 (155 bp)...done!
Finding genes in sequence #332 (155 bp)...done!
Finding genes in sequence #333 (155 bp)...done!
Finding genes in sequence #334 (155 bp)...done!
Finding genes in sequence #335 (155 bp)...done!
Finding genes in sequence #336 (155 bp)...done!
Finding genes in sequence #337 (155 bp)...done!
Finding genes in sequence #338 (155 bp)...done!
Finding genes in sequence #339 (155 bp)...done!
Finding genes in sequence #340 (155 bp)...done!
Finding genes in sequence #341 (155 bp)...done!
Finding genes in sequence #342 (155 bp)...done!
Finding genes in sequence #343 (155 bp)...done!
Finding genes in sequence #344 (155 bp)...done!
Finding genes in sequence #345 (155 bp)...done!
Finding genes in sequence #346 (155 bp)...done!
Finding genes in sequence #347 (155 bp)...done!
Finding genes in sequence #348 (155 bp)...done!
Finding genes in sequence #349 (155 bp)...done!
Finding genes in sequence #350 (154 bp)...done!
Finding genes in sequence #351 (154 bp)...done!
Finding genes in sequence #352 (153 bp)...done!
Finding genes in sequence #353 (153 bp)...done!
Finding genes in sequence #354 (153 bp)...done!
Finding genes in sequence #355 (152 bp)...done!
Finding genes in sequence #356 (152 bp)...done!
Finding genes in sequence #357 (152 bp)...done!
Finding genes in sequence #358 (152 bp)...done!
Finding genes in sequence #359 (151 bp)...done!
Finding genes in sequence #360 (150 bp)...done!
Finding genes in sequence #361 (148 bp)...done!
Finding genes in sequence #362 (147 bp)...done!
Finding genes in sequence #363 (145 bp)...done!
Finding genes in sequence #364 (144 bp)...done!
Finding genes in sequence #365 (141 bp)...done!
Finding genes in sequence #366 (141 bp)...done!
Finding genes in sequence #367 (140 bp)...done!
Finding genes in sequence #368 (140 bp)...done!
Finding genes in sequence #369 (140 bp)...done!
Finding genes in sequence #370 (140 bp)...done!
Finding genes in sequence #371 (139 bp)...done!
Finding genes in sequence #372 (139 bp)...done!
Finding genes in sequence #373 (139 bp)...done!
Finding genes in sequence #374 (138 bp)...done!
Finding genes in sequence #375 (135 bp)...done!
Finding genes in sequence #376 (134 bp)...done!
Finding genes in sequence #377 (134 bp)...done!
Finding genes in sequence #378 (134 bp)...done!
Finding genes in sequence #379 (134 bp)...done!
Finding genes in sequence #380 (131 bp)...done!
Finding genes in sequence #381 (131 bp)...done!
Finding genes in sequence #382 (130 bp)...done!
Finding genes in sequence #383 (130 bp)...done!
Finding genes in sequence #384 (130 bp)...done!
Finding genes in sequence #385 (128 bp)...done!
Finding genes in sequence #386 (127 bp)...done!
Finding genes in sequence #387 (127 bp)...done!
Finding genes in sequence #388 (126 bp)...done!
Finding genes in sequence #389 (126 bp)...done!
Finding genes in sequence #390 (126 bp)...done!
Finding genes in sequence #391 (126 bp)...done!
Finding genes in sequence #392 (125 bp)...done!
Finding genes in sequence #393 (124 bp)...done!
Finding genes in sequence #394 (123 bp)...done!
Finding genes in sequence #395 (123 bp)...done!
Finding genes in sequence #396 (122 bp)...done!
Finding genes in sequence #397 (122 bp)...done!
Finding genes in sequence #398 (121 bp)...done!
Finding genes in sequence #399 (121 bp)...done!
Finding genes in sequence #400 (121 bp)...done!
Finding genes in sequence #401 (121 bp)...done!
Finding genes in sequence #402 (120 bp)...done!
Finding genes in sequence #403 (119 bp)...done!
Finding genes in sequence #404 (119 bp)...done!
Finding genes in sequence #405 (119 bp)...done!
Finding genes in sequence #406 (118 bp)...done!
Finding genes in sequence #407 (117 bp)...done!
Finding genes in sequence #408 (117 bp)...done!
Finding genes in sequence #409 (117 bp)...done!
Finding genes in sequence #410 (116 bp)...done!
Finding genes in sequence #411 (115 bp)...done!
Finding genes in sequence #412 (115 bp)...done!
Finding genes in sequence #413 (114 bp)...done!
Finding genes in sequence #414 (112 bp)...done!
Finding genes in sequence #415 (112 bp)...done!
Finding genes in sequence #416 (112 bp)...done!
Finding genes in sequence #417 (112 bp)...done!
Finding genes in sequence #418 (112 bp)...done!
Finding genes in sequence #419 (112 bp)...done!
Finding genes in sequence #420 (112 bp)...done!
Finding genes in sequence #421 (111 bp)...done!
Finding genes in sequence #422 (111 bp)...done!
Finding genes in sequence #423 (110 bp)...done!
Finding genes in sequence #424 (110 bp)...done!
Finding genes in sequence #425 (108 bp)...done!
Finding genes in sequence #426 (109 bp)...done!
Finding genes in sequence #427 (109 bp)...done!
Finding genes in sequence #428 (109 bp)...done!
Finding genes in sequence #429 (109 bp)...done!
Finding genes in sequence #430 (109 bp)...done!
Finding genes in sequence #431 (108 bp)...done!
Finding genes in sequence #432 (107 bp)...done!
Finding genes in sequence #433 (107 bp)...done!
Finding genes in sequence #434 (107 bp)...done!
Finding genes in sequence #435 (107 bp)...done!
