#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_84_length_27424_cov_2.668791_23  -            511 46726at72274         -            190   1.4e-31  108.4   1.5   2   4   4.1e-08   1.9e-06   26.4   0.0    78   154   137   216   114   224 0.87 # 21648 # 23180 # 1 # ID=84_23;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_84_length_27424_cov_2.668791_23  -            511 46726at72274         -            190   1.4e-31  108.4   1.5   3   4       2.9   1.4e+02    0.8   0.0    17    48   284   315   272   329 0.81 # 21648 # 23180 # 1 # ID=84_23;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_84_length_27424_cov_2.668791_23  -            511 46726at72274         -            190   1.4e-31  108.4   1.5   4   4   5.2e-17   2.5e-15   55.4   0.1    78   154   395   474   380   487 0.87 # 21648 # 23180 # 1 # ID=84_23;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_96_length_24520_cov_2.646497_4   -            263 46726at72274         -            190   3.3e-30  103.9   0.0   1   2   2.1e-06   9.8e-05   20.8   0.0    17    51    36    70    20    92 0.85 # 2587 # 3375 # -1 # ID=96_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.625
NODE_96_length_24520_cov_2.646497_4   -            263 46726at72274         -            190   3.3e-30  103.9   0.0   2   2   6.1e-25   2.9e-23   81.3   0.1    63   186   121   248   101   251 0.91 # 2587 # 3375 # -1 # ID=96_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.625
NODE_115_length_19800_cov_2.521222_10 -            249 46726at72274         -            190   4.1e-30  103.6   0.0   1   2   4.2e-10     2e-08   32.9   0.0     8    72    30   107    27   113 0.81 # 8284 # 9030 # 1 # ID=115_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.667
NODE_115_length_19800_cov_2.521222_10 -            249 46726at72274         -            190   4.1e-30  103.6   0.0   2   2   4.4e-21   2.1e-19   68.7   0.0    71   179   127   241   111   246 0.83 # 8284 # 9030 # 1 # ID=115_10;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.667
NODE_122_length_17845_cov_2.605994_15 -            503 46726at72274         -            190   1.2e-29  102.1   3.5   1   3   1.6e-06   7.5e-05   21.2   0.1     8    47    19    61    15    68 0.87 # 14988 # 16496 # -1 # ID=122_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_122_length_17845_cov_2.605994_15 -            503 46726at72274         -            190   1.2e-29  102.1   3.5   2   3   1.2e-09   5.5e-08   31.4   0.1    79   154   136   214   117   218 0.86 # 14988 # 16496 # -1 # ID=122_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_122_length_17845_cov_2.605994_15 -            503 46726at72274         -            190   1.2e-29  102.1   3.5   3   3   6.8e-15   3.2e-13   48.5   0.0    64   156   377   472   370   491 0.87 # 14988 # 16496 # -1 # ID=122_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_57_length_43428_cov_2.690654_7   -            512 46726at72274         -            190   1.3e-29  102.0   4.7   1   4   1.4e-07   6.7e-06   24.6   0.1     9    49    19    62    14    78 0.85 # 8449 # 9984 # 1 # ID=57_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_57_length_43428_cov_2.690654_7   -            512 46726at72274         -            190   1.3e-29  102.0   4.7   2   4   9.9e-08   4.6e-06   25.2   0.2    82   154   138   213   120   230 0.83 # 8449 # 9984 # 1 # ID=57_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_57_length_43428_cov_2.690654_7   -            512 46726at72274         -            190   1.3e-29  102.0   4.7   3   4    0.0047      0.22    9.9   0.0    11    50   270   312   263   317 0.86 # 8449 # 9984 # 1 # ID=57_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_57_length_43428_cov_2.690654_7   -            512 46726at72274         -            190   1.3e-29  102.0   4.7   4   4   1.1e-12   5.1e-11   41.3   0.0    79   156   389   469   373   495 0.89 # 8449 # 9984 # 1 # ID=57_7;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_2_length_144272_cov_2.753151_128 -            520 46726at72274         -            190   1.2e-28   98.8   1.9   1   4   0.00034     0.016   13.6   0.0     9    38    21    53    17    64 0.81 # 126406 # 127965 # 1 # ID=2_128;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_2_length_144272_cov_2.753151_128 -            520 46726at72274         -            190   1.2e-28   98.8   1.9   2   4   3.4e-07   1.6e-05   23.4   0.1    80   161   141   227   111   244 0.76 # 126406 # 127965 # 1 # ID=2_128;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_2_length_144272_cov_2.753151_128 -            520 46726at72274         -            190   1.2e-28   98.8   1.9   3   4       1.2        54    2.1   0.0     9    38   280   312   274   326 0.79 # 126406 # 127965 # 1 # ID=2_128;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624
