-------------------------------------
PRODIGAL v2.6.3 [February, 2016]         
Univ of Tenn / Oak Ridge National Lab
Doug Hyatt, Loren Hauser, et al.     
-------------------------------------
Request:  Single Genome, Phase:  Training
Reading in the sequence(s) to train...6891420 bp seq created, 60.54 pct GC
Locating all potential starts and stops...471114 nodes
Looking for GC bias in different frames...frame bias scores: 0.63 0.12 2.26
Building initial set of genes to train from...done!
Creating coding model and scoring nodes...done!
Examining upstream regions and training starts...done!
-------------------------------------
Request:  Single Genome, Phase:  Gene Finding
Finding genes in sequence #333 (155 bp)...done!
Finding genes in sequence #334 (155 bp)...done!
Finding genes in sequence #335 (155 bp)...done!
Finding genes in sequence #336 (155 bp)...done!
Finding genes in sequence #337 (155 bp)...done!
Finding genes in sequence #338 (155 bp)...done!
Finding genes in sequence #339 (155 bp)...done!
Finding genes in sequence #340 (155 bp)...done!
Finding genes in sequence #341 (155 bp)...done!
Finding genes in sequence #342 (155 bp)...done!
Finding genes in sequence #343 (155 bp)...done!
Finding genes in sequence #344 (155 bp)...done!
Finding genes in sequence #345 (155 bp)...done!
Finding genes in sequence #346 (155 bp)...done!
Finding genes in sequence #347 (155 bp)...done!
Finding genes in sequence #348 (155 bp)...done!
Finding genes in sequence #349 (155 bp)...done!
Finding genes in sequence #350 (155 bp)...done!
Finding genes in sequence #351 (155 bp)...done!
Finding genes in sequence #352 (154 bp)...done!
Finding genes in sequence #353 (154 bp)...done!
Finding genes in sequence #354 (153 bp)...done!
Finding genes in sequence #355 (153 bp)...done!
Finding genes in sequence #356 (153 bp)...done!
Finding genes in sequence #357 (152 bp)...done!
Finding genes in sequence #358 (152 bp)...done!
Finding genes in sequence #359 (152 bp)...done!
Finding genes in sequence #360 (150 bp)...done!
Finding genes in sequence #361 (149 bp)...done!
Finding genes in sequence #362 (148 bp)...done!
Finding genes in sequence #363 (148 bp)...done!
Finding genes in sequence #364 (147 bp)...done!
Finding genes in sequence #365 (145 bp)...done!
Finding genes in sequence #366 (145 bp)...done!
Finding genes in sequence #367 (144 bp)...done!
Finding genes in sequence #368 (141 bp)...done!
Finding genes in sequence #369 (141 bp)...done!
Finding genes in sequence #370 (140 bp)...done!
Finding genes in sequence #371 (140 bp)...done!
Finding genes in sequence #372 (140 bp)...done!
Finding genes in sequence #373 (139 bp)...done!
Finding genes in sequence #374 (139 bp)...done!
Finding genes in sequence #375 (139 bp)...done!
Finding genes in sequence #376 (138 bp)...done!
Finding genes in sequence #377 (136 bp)...done!
Finding genes in sequence #378 (135 bp)...done!
Finding genes in sequence #379 (134 bp)...done!
Finding genes in sequence #380 (134 bp)...done!
Finding genes in sequence #381 (134 bp)...done!
Finding genes in sequence #382 (134 bp)...done!
Finding genes in sequence #383 (131 bp)...done!
Finding genes in sequence #384 (131 bp)...done!
Finding genes in sequence #385 (130 bp)...done!
Finding genes in sequence #386 (130 bp)...done!
Finding genes in sequence #387 (130 bp)...done!
Finding genes in sequence #388 (128 bp)...done!
Finding genes in sequence #389 (127 bp)...done!
Finding genes in sequence #390 (127 bp)...done!
Finding genes in sequence #391 (126 bp)...done!
Finding genes in sequence #392 (126 bp)...done!
Finding genes in sequence #393 (126 bp)...done!
Finding genes in sequence #394 (125 bp)...done!
Finding genes in sequence #395 (125 bp)...done!
Finding genes in sequence #396 (124 bp)...done!
Finding genes in sequence #397 (123 bp)...done!
Finding genes in sequence #398 (123 bp)...done!
Finding genes in sequence #399 (122 bp)...done!
Finding genes in sequence #400 (122 bp)...done!
Finding genes in sequence #401 (121 bp)...done!
Finding genes in sequence #402 (121 bp)...done!
Finding genes in sequence #403 (121 bp)...done!
Finding genes in sequence #404 (120 bp)...done!
Finding genes in sequence #405 (119 bp)...done!
Finding genes in sequence #406 (119 bp)...done!
Finding genes in sequence #407 (118 bp)...done!
Finding genes in sequence #408 (117 bp)...done!
Finding genes in sequence #409 (117 bp)...done!
Finding genes in sequence #410 (117 bp)...done!
Finding genes in sequence #411 (116 bp)...done!
Finding genes in sequence #412 (116 bp)...done!
Finding genes in sequence #413 (116 bp)...done!
Finding genes in sequence #414 (116 bp)...done!
Finding genes in sequence #415 (112 bp)...done!
Finding genes in sequence #416 (112 bp)...done!
Finding genes in sequence #417 (112 bp)...done!
Finding genes in sequence #418 (112 bp)...done!
Finding genes in sequence #419 (112 bp)...done!
Finding genes in sequence #420 (112 bp)...done!
Finding genes in sequence #421 (112 bp)...done!
Finding genes in sequence #422 (111 bp)...done!
Finding genes in sequence #423 (111 bp)...done!
Finding genes in sequence #424 (110 bp)...done!
Finding genes in sequence #425 (110 bp)...done!
Finding genes in sequence #426 (110 bp)...done!
