#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_17_length_110079_cov_30.099496_93  -            263 46726at72274         -            190   3.2e-30  103.9   0.0   2   2     6e-25   2.8e-23   81.3   0.1    63   186   121   248   101   251 0.91 # 99187 # 99975 # 1 # ID=17_93;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.625
NODE_81_length_19758_cov_29.209978_12   -            249 46726at72274         -            190   4.1e-30  103.6   0.0   1   2   4.2e-10     2e-08   32.9   0.0     8    72    30   107    27   113 0.81 # 10661 # 11407 # -1 # ID=81_12;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.669
NODE_81_length_19758_cov_29.209978_12   -            249 46726at72274         -            190   4.1e-30  103.6   0.0   2   2   4.3e-21   2.1e-19   68.7   0.0    71   179   127   241   111   246 0.83 # 10661 # 11407 # -1 # ID=81_12;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.669
NODE_84_length_17658_cov_30.415401_15   -            503 46726at72274         -            190   1.2e-29  102.1   3.5   1   3   1.6e-06   7.5e-05   21.2   0.1     8    47    19    61    15    68 0.87 # 14936 # 16444 # -1 # ID=84_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_84_length_17658_cov_30.415401_15   -            503 46726at72274         -            190   1.2e-29  102.1   3.5   2   3   1.1e-09   5.4e-08   31.4   0.1    79   154   136   214   117   218 0.86 # 14936 # 16444 # -1 # ID=84_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_84_length_17658_cov_30.415401_15   -            503 46726at72274         -            190   1.2e-29  102.1   3.5   3   3   6.7e-15   3.2e-13   48.5   0.0    64   156   377   472   370   491 0.87 # 14936 # 16444 # -1 # ID=84_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_29_length_83571_cov_30.866281_57   -            512 46726at72274         -            190   1.2e-29  102.0   4.7   1   4   1.4e-07   6.6e-06   24.6   0.1     9    49    19    62    14    78 0.85 # 73640 # 75175 # -1 # ID=29_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_29_length_83571_cov_30.866281_57   -            512 46726at72274         -            190   1.2e-29  102.0   4.7   2   4   9.7e-08   4.6e-06   25.2   0.2    82   154   138   213   120   230 0.83 # 73640 # 75175 # -1 # ID=29_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_29_length_83571_cov_30.866281_57   -            512 46726at72274         -            190   1.2e-29  102.0   4.7   3   4    0.0047      0.22    9.9   0.0    11    50   270   312   263   317 0.86 # 73640 # 75175 # -1 # ID=29_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_29_length_83571_cov_30.866281_57   -            512 46726at72274         -            190   1.2e-29  102.0   4.7   4   4   1.1e-12   5.1e-11   41.3   0.0    79   156   389   469   373   495 0.89 # 73640 # 75175 # -1 # ID=29_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
NODE_1_length_236949_cov_32.553383_134  -            520 46726at72274         -            190   1.2e-28   98.8   1.9   1   4   0.00033     0.016   13.6   0.0     9    38    21    53    17    64 0.81 # 135971 # 137530 # 1 # ID=1_134;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_1_length_236949_cov_32.553383_134  -            520 46726at72274         -            190   1.2e-28   98.8   1.9   2   4   3.4e-07   1.6e-05   23.4   0.1    80   161   141   227   111   244 0.76 # 135971 # 137530 # 1 # ID=1_134;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_1_length_236949_cov_32.553383_134  -            520 46726at72274         -            190   1.2e-28   98.8   1.9   3   4       1.1        54    2.1   0.0     9    38   280   312   274   326 0.79 # 135971 # 137530 # 1 # ID=1_134;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_1_length_236949_cov_32.553383_134  -            520 46726at72274         -            190   1.2e-28   98.8   1.9   4   4   7.2e-17   3.4e-15   54.9   0.0    81   154   404   480   386   484 0.89 # 135971 # 137530 # 1 # ID=1_134;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_24_length_98089_cov_32.704420_47   -            518 46726at72274         -            190     1e-27   95.8   5.7   1   4     5e-08   2.4e-06   26.1   0.0     6    55    21    74    17    95 0.85 # 44598 # 46151 # 1 # ID=24_47;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
